DataYear,CircuitCook88,Indic_Number,Indic_Desc,Caseloads
2009,1,32,DUI Probation Caseloads,872
2009,2,30,Felony Probation Caseloads,1118
2009,2,31,Misdemeanor Probation Caseloads,742
2009,2,32,DUI Probation Caseloads,223
2009,3,30,Felony Probation Caseloads,1638
2009,3,31,Misdemeanor Probation Caseloads,298
2009,3,32,DUI Probation Caseloads,347
2009,4,30,Felony Probation Caseloads,1165
2009,4,31,Misdemeanor Probation Caseloads,1196
2009,4,32,DUI Probation Caseloads,855
2009,5,30,Felony Probation Caseloads,1060
2009,5,31,Misdemeanor Probation Caseloads,522
2009,5,32,DUI Probation Caseloads,229
2009,6,30,Felony Probation Caseloads,2404
2009,6,31,Misdemeanor Probation Caseloads,995
2009,6,32,DUI Probation Caseloads,749
2009,7,30,Felony Probation Caseloads,1136
2009,7,31,Misdemeanor Probation Caseloads,753
2009,7,32,DUI Probation Caseloads,402
2009,8,30,Felony Probation Caseloads,854
2009,8,31,Misdemeanor Probation Caseloads,501
2009,8,32,DUI Probation Caseloads,376
2009,9,30,Felony Probation Caseloads,594
2009,9,31,Misdemeanor Probation Caseloads,180
2009,9,32,DUI Probation Caseloads,87
2009,10,30,Felony Probation Caseloads,1633
2009,10,31,Misdemeanor Probation Caseloads,568
2009,10,32,DUI Probation Caseloads,131
2009,11,30,Felony Probation Caseloads,1341
2009,11,31,Misdemeanor Probation Caseloads,589
2009,11,32,DUI Probation Caseloads,257
2009,12,30,Felony Probation Caseloads,1375
2009,12,31,Misdemeanor Probation Caseloads,205
2009,12,32,DUI Probation Caseloads,202
2009,13,30,Felony Probation Caseloads,789
2009,13,31,Misdemeanor Probation Caseloads,146
2009,13,32,DUI Probation Caseloads,30
2009,14,30,Felony Probation Caseloads,1433
2009,14,31,Misdemeanor Probation Caseloads,589
2009,14,32,DUI Probation Caseloads,1793
2009,15,30,Felony Probation Caseloads,846
2009,15,31,Misdemeanor Probation Caseloads,504
2009,15,32,DUI Probation Caseloads,169
2009,16,30,Felony Probation Caseloads,2152
2009,16,31,Misdemeanor Probation Caseloads,550
2009,16,32,DUI Probation Caseloads,224
2009,17,30,Felony Probation Caseloads,2075
2009,17,31,Misdemeanor Probation Caseloads,1240
2009,17,32,DUI Probation Caseloads,1556
2009,18,30,Felony Probation Caseloads,1911
2009,18,31,Misdemeanor Probation Caseloads,1036
2009,18,32,DUI Probation Caseloads,699
2009,19,30,Felony Probation Caseloads,1552
2009,19,31,Misdemeanor Probation Caseloads,631
2009,19,32,DUI Probation Caseloads,58
2009,20,30,Felony Probation Caseloads,1424
2009,20,31,Misdemeanor Probation Caseloads,134
2009,20,32,DUI Probation Caseloads,66
2009,21,30,Felony Probation Caseloads,752
2009,21,31,Misdemeanor Probation Caseloads,220
2009,21,32,DUI Probation Caseloads,8
2009,22,30,Felony Probation Caseloads,495
2009,22,31,Misdemeanor Probation Caseloads,180
2009,22,32,DUI Probation Caseloads,68
2009,23,30,Felony Probation Caseloads,620
2009,23,31,Misdemeanor Probation Caseloads,363
2009,23,32,DUI Probation Caseloads,79
2009,88,30,Felony Probation Caseloads,18510
2009,88,31,Misdemeanor Probation Caseloads,12478
2009,88,32,DUI Probation Caseloads,10731
2010,1,30,Felony Probation Caseloads,1302
2010,1,31,Misdemeanor Probation Caseloads,777
2010,1,32,DUI Probation Caseloads,766
2010,2,30,Felony Probation Caseloads,1063
2010,2,31,Misdemeanor Probation Caseloads,572
2010,2,32,DUI Probation Caseloads,174
2010,3,30,Felony Probation Caseloads,1481
2010,3,31,Misdemeanor Probation Caseloads,300
2010,3,32,DUI Probation Caseloads,340
2010,4,30,Felony Probation Caseloads,1182
2010,4,31,Misdemeanor Probation Caseloads,1237
2010,4,32,DUI Probation Caseloads,944
2010,5,30,Felony Probation Caseloads,1031
2010,5,31,Misdemeanor Probation Caseloads,556
2010,5,32,DUI Probation Caseloads,236
2010,6,30,Felony Probation Caseloads,2552
2010,6,31,Misdemeanor Probation Caseloads,959
2010,6,32,DUI Probation Caseloads,727
2010,7,30,Felony Probation Caseloads,1162
2010,7,31,Misdemeanor Probation Caseloads,869
2010,7,32,DUI Probation Caseloads,309
2010,8,30,Felony Probation Caseloads,918
2010,8,31,Misdemeanor Probation Caseloads,419
2010,8,32,DUI Probation Caseloads,324
2010,9,30,Felony Probation Caseloads,608
2010,9,31,Misdemeanor Probation Caseloads,184
2010,9,32,DUI Probation Caseloads,81
2010,10,30,Felony Probation Caseloads,1742
2010,10,31,Misdemeanor Probation Caseloads,627
2010,10,32,DUI Probation Caseloads,159
2010,11,30,Felony Probation Caseloads,1362
2010,11,31,Misdemeanor Probation Caseloads,447
2010,11,32,DUI Probation Caseloads,209
2010,12,30,Felony Probation Caseloads,1593
2010,12,31,Misdemeanor Probation Caseloads,220
2010,12,32,DUI Probation Caseloads,211
